gene_name,refseq_id,miR,SNP,diseases,distance,experimentally_confirmed
OLR1,NM_001172632,hsa-let-7a,rs1050286,"Alzheimer's disease",599,
OLR1,NM_001172632,hsa-let-7f,rs1050286,"Alzheimer's disease",599,
OLR1,NM_001172632,hsa-miR-98,rs1050286,"Alzheimer's disease",599,
CDK5R1,NM_003885,hsa-miR-92a,rs735555,"Alzheimer's disease",-600,
CDK5R1,NM_003885,hsa-miR-25,rs735555,"Alzheimer's disease",-600,
CDK5R1,NM_003885,hsa-miR-367,rs735555,"Alzheimer's disease",-600,
CDK5R1,NM_003885,hsa-miR-363,rs735555,"Alzheimer's disease",-600,
CDK5R1,NM_003885,hsa-miR-32,rs735555,"Alzheimer's disease",-600,
CDK5R1,NM_003885,hsa-miR-92b,rs735555,"Alzheimer's disease",-600,
CDK5R1,NM_003885,hsa-miR-25,rs735555,"Alzheimer's disease",-600,
CDK5R1,NM_003885,hsa-miR-133a,rs735555,"Alzheimer's disease",-627,
CDK5R1,NM_003885,hsa-miR-133b,rs735555,"Alzheimer's disease",-627,
PLAU,NM_002658,hsa-miR-193,rs4065,"Asthma, Alzheimer's disease",-637,
PLAU,NM_002658,hsa-miR-199a,rs4065,"Asthma, Alzheimer's disease",-677,
PLAU,NM_002658,hsa-miR-199b,rs4065,"Asthma, Alzheimer's disease",-677,
CDK5R1,NM_003885,hsa-miR-340,rs735555,"Alzheimer's disease",-710,
CDK5R1,NM_003885,hsa-miR-433,rs735555,"Alzheimer's disease",-727,
PLAU,NM_002658,hsa-miR-23a,rs4065,"Asthma, Alzheimer's disease",-773,
PLAU,NM_002658,hsa-miR-23b,rs4065,"Asthma, Alzheimer's disease",-773,Yes
PLAU,NM_002658,hsa-miR-23b,rs4065,"Asthma, Alzheimer's disease",-774,Yes
PLAU,NM_002658,hsa-miR-23a,rs4065,"Asthma, Alzheimer's disease",-774,
CDK5R1,NM_003885,hsa-miR-101,rs735555,"Alzheimer's disease",-785,
CDK5R1,NM_003885,hsa-miR-101,rs735555,"Alzheimer's disease",-785,
CDK5R1,NM_003885,hsa-miR-101,rs735555,"Alzheimer's disease",-785,
CDK5R1,NM_003885,hsa-miR-33,rs735555,"Alzheimer's disease",-805,
CDK5R1,NM_003885,hsa-miR-148a,rs735555,"Alzheimer's disease",-807,
CDK5R1,NM_003885,hsa-miR-148b,rs735555,"Alzheimer's disease",-807,
CDK5R1,NM_003885,hsa-miR-152,rs735555,"Alzheimer's disease",-807,
CDK5R1,NM_003885,hsa-miR-130a,rs735555,"Alzheimer's disease",-807,
CDK5R1,NM_003885,hsa-miR-301,rs735555,"Alzheimer's disease",-807,
CDK5R1,NM_003885,hsa-miR-130b,rs735555,"Alzheimer's disease",-807,
CDK5R1,NM_003885,hsa-miR-152,rs735555,"Alzheimer's disease",-808,
CDK5R1,NM_003885,hsa-miR-148b,rs735555,"Alzheimer's disease",-808,
CDK5R1,NM_003885,hsa-miR-148a,rs735555,"Alzheimer's disease",-808,
CDK5R1,NM_003885,hsa-miR-152,rs735555,"Alzheimer's disease",-808,
CDK5R1,NM_003885,hsa-miR-148b,rs735555,"Alzheimer's disease",-808,
CDK5R1,NM_003885,hsa-miR-148a,rs735555,"Alzheimer's disease",-808,
OLR1,NM_001172632,hsa-miR-590-5p,rs1050286,"Alzheimer's disease",856,
OLR1,NM_001172632,hsa-miR-21,rs1050286,"Alzheimer's disease",856,
CDK5R1,NM_003885,hsa-miR-183,rs735555,"Alzheimer's disease",1008,
MLXIP,NM_014938,hsa-miR-9,rs3741452,"Alzheimer's disease",1085,
MLXIP,NM_014938,hsa-miR-133a,rs3741452,"Alzheimer's disease",1087,
MLXIP,NM_014938,hsa-miR-133b,rs3741452,"Alzheimer's disease",1087,
CDK5R1,NM_003885,hsa-miR-15b,rs735555,"Alzheimer's disease",1227,
CDK5R1,NM_003885,hsa-miR-15a,rs735555,"Alzheimer's disease",1227,
CDK5R1,NM_003885,hsa-miR-107,rs735555,"Alzheimer's disease",1227,
CDK5R1,NM_003885,hsa-miR-103,rs735555,"Alzheimer's disease",1227,
CDK5R1,NM_003885,hsa-miR-16,rs735555,"Alzheimer's disease",1227,
CDK5R1,NM_003885,hsa-miR-195,rs735555,"Alzheimer's disease",1227,
CDK5R1,NM_003885,hsa-miR-15a,rs735555,"Alzheimer's disease",1227,
CDK5R1,NM_003885,hsa-miR-107,rs735555,"Alzheimer's disease",1227,
CDK5R1,NM_003885,hsa-miR-195,rs735555,"Alzheimer's disease",1227,
CDK5R1,NM_003885,hsa-miR-103,rs735555,"Alzheimer's disease",1227,
CDK5R1,NM_003885,hsa-miR-16,rs735555,"Alzheimer's disease",1227,
CDK5R1,NM_003885,hsa-miR-15b,rs735555,"Alzheimer's disease",1227,
ATP8A1,NM_001105529,hsa-miR-653,rs12639920,"Alzheimer's disease",-1337,
MLXIP,NM_014938,hsa-miR-124,rs3741452,"Alzheimer's disease",1485,
MLXIP,NM_014938,hsa-miR-506,rs3741452,"Alzheimer's disease",1485,
ATP8A1,NM_001105529,hsa-miR-33b,rs12639920,"Alzheimer's disease",-1491,
ATP8A1,NM_001105529,hsa-miR-33a,rs12639920,"Alzheimer's disease",-1491,
ATP8A1,NM_001105529,hsa-miR-18a,rs12639920,"Alzheimer's disease",1540,
ATP8A1,NM_001105529,hsa-miR-18b,rs12639920,"Alzheimer's disease",1540,
ATP8A1,NM_001105529,hsa-miR-9,rs12639920,"Alzheimer's disease",1711,
ATP8A1,NM_001105529,hsa-miR-182,rs12639920,"Alzheimer's disease",1713,
ATP8A1,NM_001105529,hsa-miR-96,rs12639920,"Alzheimer's disease",1713,
ATP8A1,NM_001105529,hsa-miR-1271,rs12639920,"Alzheimer's disease",1713,
MLXIP,NM_014938,hsa-miR-204,rs3741452,"Alzheimer's disease",1788,
MLXIP,NM_014938,hsa-miR-211,rs3741452,"Alzheimer's disease",1788,
MLXIP,NM_014938,hsa-miR-134,rs3741452,"Alzheimer's disease",1828,
CDK5R1,NM_003885,hsa-miR-33,rs735555,"Alzheimer's disease",1850,
ATP8A1,NM_001105529,hsa-miR-135a,rs12639920,"Alzheimer's disease",-1862,
ATP8A1,NM_001105529,hsa-miR-135b,rs12639920,"Alzheimer's disease",-1862,
MLXIP,NM_014938,hsa-miR-137,rs3741452,"Alzheimer's disease",1883,
ATP8A1,NM_001105529,hsa-miR-22,rs12639920,"Alzheimer's disease",-1965,
ATP8A1,NM_001105529,hsa-miR-31,rs12639920,"Alzheimer's disease",1983,
ATP8A1,NM_001105529,hsa-miR-214,rs12639920,"Alzheimer's disease",-2037,
ATP8A1,NM_001105529,hsa-miR-101,rs12639920,"Alzheimer's disease",2063,
ATP8A1,NM_001105529,hsa-miR-144,rs12639920,"Alzheimer's disease",2063,
ATP8A1,NM_001105529,hsa-miR-128,rs12639920,"Alzheimer's disease",2076,
ATP8A1,NM_001105529,hsa-miR-539,rs12639920,"Alzheimer's disease",-2107,
ATP8A1,NM_001105529,hsa-miR-495,rs12639920,"Alzheimer's disease",-2115,
ATP8A1,NM_001105529,hsa-miR-148a,rs12639920,"Alzheimer's disease",-2137,
ATP8A1,NM_001105529,hsa-miR-152,rs12639920,"Alzheimer's disease",-2137,
ATP8A1,NM_001105529,hsa-miR-148b,rs12639920,"Alzheimer's disease",-2137,
ATP8A1,NM_001105529,hsa-miR-128,rs12639920,"Alzheimer's disease",-2139,
BMP8A,NM_181809,hsa-miR-497,rs1180341,"Alzheimer's disease",-2142,
BMP8A,NM_181809,hsa-miR-424,rs1180341,"Alzheimer's disease",-2142,
BMP8A,NM_181809,hsa-miR-15b,rs1180341,"Alzheimer's disease",-2142,
BMP8A,NM_181809,hsa-miR-15a,rs1180341,"Alzheimer's disease",-2142,
BMP8A,NM_181809,hsa-miR-195,rs1180341,"Alzheimer's disease",-2142,
BMP8A,NM_181809,hsa-miR-16,rs1180341,"Alzheimer's disease",-2142,
ATP8A1,NM_001105529,hsa-miR-153,rs12639920,"Alzheimer's disease",-2179,
ATP8A1,NM_001105529,hsa-miR-217,rs12639920,"Alzheimer's disease",-2181,
ATP8A1,NM_001105529,hsa-miR-141,rs12639920,"Alzheimer's disease",-2184,
ATP8A1,NM_001105529,hsa-miR-200a,rs12639920,"Alzheimer's disease",-2184,
ATP8A1,NM_001105529,hsa-miR-181d,rs12639920,"Alzheimer's disease",-2210,
ATP8A1,NM_001105529,hsa-miR-181c,rs12639920,"Alzheimer's disease",-2210,
ATP8A1,NM_001105529,hsa-miR-181b,rs12639920,"Alzheimer's disease",-2210,
ATP8A1,NM_001105529,hsa-miR-181a,rs12639920,"Alzheimer's disease",-2210,
SORL1,NM_003105,hsa-miR-20a,rs1131497,"Alzheimer's disease",2388,
SORL1,NM_003105,hsa-miR-17,rs1131497,"Alzheimer's disease",2388,
SORL1,NM_003105,hsa-miR-93,rs1131497,"Alzheimer's disease",2388,
SORL1,NM_003105,hsa-miR-106b,rs1131497,"Alzheimer's disease",2388,
SORL1,NM_003105,hsa-miR-519d,rs1131497,"Alzheimer's disease",2388,
SORL1,NM_003105,hsa-miR-20b,rs1131497,"Alzheimer's disease",2388,
SORL1,NM_003105,hsa-miR-106a,rs1131497,"Alzheimer's disease",2388,
TOM1L2,NM_001082968,hsa-miR-378,rs3183702,"Alzheimer's disease",3500,
