gene_name,refseq_id,miR,SNP,diseases,distance,experimentally_confirmed
COTL1,NM_021149,hsa-miR-1285,rs13521,"Autoimmune diseases",0,
CNR1,NM_033181,hsa-miR-183,rs4707436,"Attention deficit/hyperactivity disorder",0,
TRPV1,NM_080705,hsa-miR-1208,rs4790522,Asthma,0,
BRCA1,NR_027676,hsa-miR-504,rs1799966,Glioblastoma,0,
GPX1,NM_201397,hsa-miR-1233,rs1050450,"Breast cancer, Lung cancer, Kashin-Beck disease",0,
PDGFC,NR_036641,hsa-miR-425,rs1425486,"Ovarian cancer",0,
DISC2,NR_002227,hsa-miR-412,rs6675281,Schizophrenia,0,
ADM2,NM_024866,hsa-miR-658,rs761745,"Type 1 diabetes",0,
HLA-DQB2,NR_003937,hsa-miR-422a,rs1049110,"Type 1 diabetes",0,
MTRR,NM_002454,hsa-miR-154,rs10520873,Obesity,0,
FOXE1,NM_004473,hsa-miR-220c,rs1443434,"Cleft palate",0,
TYMS,NM_001071,hsa-miR-498,rs699517,"Lung cancer",0,
HLA-DQB2,NR_003937,hsa-miR-378,rs1049110,"Type 1 diabetes",0,
CBS,NM_001178008,hsa-miR-1205,rs1051319,"Ischemic stroke",0,
ZNF350,NM_021632,hsa-miR-150,rs2278414,"Breast cancer",0,
SELS,NM_203472,hsa-miR-181d,rs9874,"Ischemic stroke",0,
SELS,NM_203472,hsa-miR-181c,rs9874,"Ischemic stroke",0,
ANKRD54,NR_036556,hsa-miR-147b,rs3091367,Alcoholism,0,
CNR1,NM_033181,hsa-miR-1260,rs806368,"Nicotine dependence, Attention deficit/hyperactivity disorder, Cocaine dependence",0,
OGG1,NM_016819,hsa-miR-1256,rs1052133,"Lung cancer, Colorectal cancer, Gallbladder cancer",0,
LOC100379224,NR_033341,hsa-miR-185,rs4508518,"Alzheimer's disease",0,
TLR4,NM_138554,hsa-miR-1208,rs11536889,"Myocardial infarction",0,
COL6A4P1,NR_027927,hsa-miR-410,rs7639618,Osteoarthritis,0,
ANXA6,NM_001193544,hsa-miR-1204,rs11960458,Osteoarthritis,0,
SELS,NM_203472,hsa-miR-181a,rs9874,"Ischemic stroke",0,
TNPO3,NR_034053,hsa-miR-1200,rs2280714,"Systemic lupus erythematosus",0,
IL13,NM_002188,hsa-miR-1202,rs1295685,"Asthma, Chronic obstructive pulmonary disease",0,
SELS,NM_203472,hsa-miR-181b,rs9874,"Ischemic stroke",0,
GLS,NM_014905,hsa-miR-1180,rs13035504,Glioma,0,
ADIPOR2,NM_024551,hsa-miR-1197,rs12342,"Insulin resistance syndrome",0,
NTRK3,NM_001007156,hsa-miR-1205,rs72481816,"Anxiety disorders",0,
LPIN2,NM_014646,hsa-miR-1227,rs3745012,"Type 2 diabetes",0,
GLS,NM_014905,hsa-miR-1234,rs13035504,Glioma,0,
UBE2Z,NM_023079,hsa-miR-1237,rs15563,"Type 2 diabetes",0,
PYROXD1,NM_024854,hsa-miR-1237,rs6500,"Pancreatic cancer",0,
UBE2I,NM_194261,hsa-miR-1237,rs8063,"Mild cognitive impairment",0,
VTCN1,NM_024626,hsa-miR-124,rs10754339,"Breast cancer",0,
DISC1,NM_001164547,hsa-miR-1243,rs821616,"Schizophrenia, Bipolar disorder",0,
NOD2,NM_022162,hsa-miR-1245,rs3135500,"Atopic disorders",0,
ERAP1,NM_001040458,hsa-miR-1252,rs13160562,Alcoholism,0,
RPH3A,NM_014954,hsa-miR-1255a,rs2240191,"Type 1 diabetes",0,
RPH3A,NM_014954,hsa-miR-1255b,rs2240191,"Type 1 diabetes",0,
KCTD20,NM_173562,hsa-miR-1256,rs2146333,"Coronary heart disease",0,
VIPR2,NM_003382,hsa-miR-1267,rs885863,"Metabolic syndrome",0,
CD4,NM_001195014,hsa-miR-1272,rs3213427,"Bladder cancer",0,
CLEC4A,NM_016184,hsa-miR-1274a,rs1133104,"Rheumatoid arthritis",0,
ITGAV,NM_001145000,hsa-miR-1283,rs1839123,"Chronic hepatitis",0,
GPX1,NM_201397,hsa-miR-129-3p,rs1050450,"Breast cancer, Lung cancer, Kashin-Beck disease",0,
SLC6A14,NM_007231,hsa-miR-1294,rs12720092,Obesity,0,
TOMM40,NM_001128917,hsa-miR-1299,rs10119,Obesity,0,
SART1,NM_005146,hsa-miR-1302,rs754532,"Breast cancer",0,
PTEN,NM_000314,hsa-miR-1304,rs701848,"Obstructive pulmonary disease, PTEN hamartoma tumor syndrome",0,
COL5A1,NM_000093,hsa-miR-1308,rs12722,"Bilateral quadriceps tendon rupture, Achilles tendinopathy",0,
RPA1,NM_002945,hsa-miR-1321,rs5030740,"Premenopausal breast cancer risk",0,
LIPA,NM_001127605,hsa-miR-1324,rs13500,"Alzheimer's disease",0,
HLA-G,NM_002127,hsa-miR-148a,rs1063320,Asthma,0,Yes
HLA-G,NM_002127,hsa-miR-148b,rs1063320,Asthma,0,Yes
WNT3A,NM_033131,hsa-miR-149,rs752107,"Nonsyndromic cleft lip and palate",0,
CXCL12,NM_000609,hsa-miR-149,rs1801157,"Myocardial infarction, HIV-1, Non-Hodgkin lymphoma, Hepatocellular carcinoma, Breast cancer",0,
HLA-G,NM_002127,hsa-miR-152,rs1063320,Asthma,0,Yes
CALM1,NM_006888,hsa-miR-15a,rs3814843,"Ischemic stroke",0,
CALM1,NM_006888,hsa-miR-15b,rs3814843,"Ischemic stroke",0,
CALM1,NM_006888,hsa-miR-15b,rs3814843,"Ischemic stroke",0,
CALM1,NM_006888,hsa-miR-16,rs3814843,"Ischemic stroke",0,
CALM1,NM_006888,hsa-miR-16,rs3814843,"Ischemic stroke",0,
PPARD,NM_006238,hsa-miR-1827,rs3734254,"Type 2 diabetes",0,
TRAF2,NM_021138,hsa-miR-199a-5p,rs7852970,"Alzheimer's disease",0,
TRAF2,NM_021138,hsa-miR-199b-5p,rs7852970,"Alzheimer's disease",0,
CCDC97,NM_052848,hsa-miR-202,rs6957,"Chronic obstructive pulmonary disease",0,
TDRD6,NM_001010870,hsa-miR-203,rs12528857,"Cardiovascular disease",0,
PTGS2,NM_000963,hsa-miR-21,rs4648298,"Colorectal cancer",0,
EDA2R,NM_021783,hsa-miR-216b,rs1485682,"Androgenetic alopecia",0,
NR4A1,NM_002135,hsa-miR-221,rs2603751,"Tardive dyskinesia",0,
LAMB3,NM_000228,hsa-miR-221,rs2566,"Cervical cancer",0,
NR4A1,NM_002135,hsa-miR-222,rs2603751,"Tardive dyskinesia",0,
LAMB3,NM_000228,hsa-miR-222,rs2566,"Cervical cancer",0,
OLR1,NM_001172632,hsa-miR-24,rs1050286,"Alzheimer's disease",0,
SMYD4,NM_052928,hsa-miR-27a,rs11062,"Type 2 diabetes",0,
SMYD4,NM_052928,hsa-miR-27b,rs11062,"Type 2 diabetes",0,
OLIG2,NM_005806,hsa-miR-323-5p,rs1059004,"Schizophrenia, Obesity",0,
HCP5,NM_006674,hsa-miR-324-3p,rs2395029,"HIV-1, Psoriatic arthritis, Drug-induced liver injury",0,
TNFRSF1B,NM_001066,hsa-miR-329,rs3397,"Tuberculosis, Crohn's disease, Inflammatory bowel disease",0,
MBL2,NM_000242,hsa-miR-337-3p,rs10824792,"Breast cancer",0,
GLIS3,NM_001042413,hsa-miR-342-5p,rs10116901,"Coronary artery disease",0,
ADRA2A,NM_000681,hsa-miR-34a,rs3750625,"Obesity, Suicidal behavior",0,
ADRA2A,NM_000681,hsa-miR-34c-5p,rs3750625,"Obesity, Suicidal behavior",0,
PLA2G2A,NM_000300,hsa-miR-361-3p,rs11677,"Colorectal cancer",0,
KMO,NM_003679,hsa-miR-361-3p,rs1053183,"Multiple myeloma",0,
TNFRSF1B,NM_001066,hsa-miR-362-3p,rs3397,"Tuberculosis, Crohn's disease, Inflammatory bowel disease",0,
ATP1A2,NM_000702,hsa-miR-371-3p,rs2070704,"Bipolar disorder",0,
PLEKHA1,NM_001195608,hsa-miR-371-5p,rs17103541,"Type 2 diabetes",0,
KIAA1549,NM_001164665,hsa-miR-374a,rs896193,Autism,0,
KIAA1549,NM_001164665,hsa-miR-374b,rs896193,Autism,0,
CDKN2B,NM_078487,hsa-miR-382,rs1063192,"Myocardial infarction, Glioma",0,
TOX,NM_014729,hsa-miR-384,rs2726599,"Sickle cell disease",0,
ADRA2A,NM_000681,hsa-miR-449a,rs3750625,"Obesity, Suicidal behavior",0,
ADRA2A,NM_000681,hsa-miR-449b,rs3750625,"Obesity, Suicidal behavior",0,
AMACR,NM_203382,hsa-miR-450b-5p,rs2278008,Schizophrenia,0,
DLX1,NM_001038493,hsa-miR-485-5p,rs788172,Autism,0,
BMPR1B,NM_001203,hsa-miR-488,rs1434536,"Breast cancer",0,
INSR,NM_000208,hsa-miR-490-5p,rs1052371,"Migraine with aura",0,
VAPA,NM_194434,hsa-miR-503,rs29067,"Bipolar disorder",0,
VTCN1,NM_024626,hsa-miR-506,rs10754339,"Breast cancer",0,
NFKBIA,NM_020529,hsa-miR-507,rs8904,"Hodgkin's lymphoma, Schizophrenia, Sepsis",0,
SRD5A3,NM_024592,hsa-miR-508-5p,rs2538,"Breast cancer",0,
ZNRD1,NM_170783,hsa-miR-509-3-5p,rs1048412,HIV-1,0,
ZNRD1,NM_170783,hsa-miR-509-5p,rs1048412,HIV-1,0,
SNAP25,NM_003081,hsa-miR-510,rs1051312,"Attention deficit/hyperactivity disorder",0,
TRAF1,NM_001190947,hsa-miR-510,rs4836834,"Non-Hodgkin lymphoma, Rheumatoid arthritis",0,
ADRA2A,NM_000681,hsa-miR-512-3p,rs3750625,"Obesity, Suicidal behavior",0,
ACCN1,NM_183377,hsa-miR-513a-5p,rs28936,"Multiple sclerosis",0,
SHMT1,NM_004169,hsa-miR-513c,rs1979276,"Lung cancer, Non-Hodgkin lymphoma",0,
C9orf156,NM_016481,hsa-miR-514,rs6586,"Cleft palate",0,
CXCR2,NM_001557,hsa-miR-516a-3p,rs1126579,"Bilary tract cancer, Bladder cancer",0,
ITGAV,NM_001145000,hsa-miR-520d-5p,rs1839123,"Chronic hepatitis",0,
PHF11,NM_001040444,hsa-miR-522,rs1046295,Asthma,0,
ITGAV,NM_001145000,hsa-miR-524-5p,rs1839123,"Chronic hepatitis",0,
AGR2,NM_006408,hsa-miR-548c-3p,rs1051905,"Fibrolamellar carcinomas",0,
TPD52,NM_005079,hsa-miR-548c-3p,rs1042638,"Breast cancer",0,
BDNF,NM_170731,hsa-miR-548d-3p,rs41282918,"Major depressive disorder",0,
UNC45B,NM_173167,hsa-miR-548m,rs11439,"Otitis media",0,
TLR4,NM_138554,hsa-miR-548m,rs7869402,"Myocardial infarction",0,
ERCC1,NM_001166049,hsa-miR-548p,rs2336219,"Bladder cancer",0,
METTL1,NM_023033,hsa-miR-554,rs703842,"Autoimmune diseases",0,
NFKBIA,NM_020529,hsa-miR-557,rs8904,"Hodgkin's lymphoma, Schizophrenia, Sepsis",0,
CASP8,NM_001080124,hsa-miR-561,rs13113,"Non-Hodgkin lymphoma",0,
PDYN,NM_024411,hsa-miR-571,rs910080,"Cocaine dependence",0,
IFRD1,NM_001007245,hsa-miR-577,rs7817,"Cystic fibrosis lung disease",0,
IL1RN,NM_173841,hsa-miR-578,rs315951,"Ulcerative colitis, Coronary syndrome",0,
GABRA2,NM_001114175,hsa-miR-579,rs573400,Alcoholism,0,
IGF1,NM_001111283,hsa-miR-580,rs5742714,"Non-small cell lung cancer",0,
ONECUT2,NM_004852,hsa-miR-587,rs615030,"Rheumatoid arthritis",0,
PTGS2,NM_000963,hsa-miR-590-5p,rs4648298,"Colorectal cancer",0,
VEGFA,NM_001025369,hsa-miR-591,rs3025039,"Behçet's disease, Myeloid leukemia, Kawasaki disease, Psoriatic arthritis, Late age-related macular degeneration, Non-small cell lung cancer, Breast cancer",0,
PPARGC1A,NM_013261,hsa-miR-595,rs6821591,"Huntington's disease",0,
TRAIP,NM_005879,hsa-miR-597,rs1128535,"Crohn's disease",0,
CHRNA2,NM_000742,hsa-miR-600,rs2292975,"Nicotine dependence",0,
COTL1,NM_021149,hsa-miR-612,rs13521,"Autoimmune diseases",0,
LIF,NM_002309,hsa-miR-617,rs737812,Schizophrenia,0,
NPPA,NM_006172,hsa-miR-624,rs5068,Hypertension,0,
IGF1,NM_001111283,hsa-miR-624,rs6220,"Breast cancer",0,
CCL2,NM_002982,hsa-miR-624,rs13900,"Muscle damage, Human cytomegalovirus  infection",0,
ACBD4,NM_024722,hsa-miR-625,rs1053578,"Ovarian cancer",0,
CAV1,NM_001172895,hsa-miR-630,rs9920,"Prostate cancer",0,
CXCL12,NM_000609,hsa-miR-631,rs1801157,"Myocardial infarction, HIV-1, Non-Hodgkin lymphoma, Hepatocellular carcinoma, Breast cancer",0,
NAT1,NM_001160179,hsa-miR-641,rs15561,"Non-Hodgkin lymphoma",0,
SNAP25,NM_003081,hsa-miR-641,rs3746544,"Attention deficit/hyperactivity disorder, Schizophrenia",0,
ADAM33,NM_025220,hsa-miR-644,rs677044,"Chronic obstructive pulmonary disease",0,
FPGS,NM_001018078,hsa-miR-665,rs10106,"Non-Hodgkin lymphoma",0,
OLIG2,NM_005806,hsa-miR-744,rs13046814,"Schizophrenia, Obesity",0,
ESR2,NM_001437,hsa-miR-758,rs4986938,"Endometrial cancer, Breast cancer, Graves' disease, Primary open-angle glaucoma, Vascular dementia, Prostate cancer, Bilary tract cancer",0,
FSTL4,NM_015082,hsa-miR-760,rs13183672,"Ischemic stroke",0,
CNR1,NM_033181,hsa-miR-767-5p,rs4707436,"Attention deficit/hyperactivity disorder",0,
C10orf55,NM_001001791,hsa-miR-877,rs1916341,"Late onset Alzheimer's Disease",0,
WNT3A,NM_033131,hsa-miR-892b,rs752107,"Nonsyndromic cleft lip and palate",0,
FEM1A,NM_018708,hsa-miR-921,rs1044386,"Polycystic ovary syndrome",0,
SOD3,NM_003102,hsa-miR-922,rs2855262,"Lung injury",0,
IL15,NM_000585,hsa-miR-940,rs1057972,"Metabolic syndrome",0,
CCL1,NM_002981,hsa-miR-130a,rs3136682,"Multiple sclerosis",-1,
CCL1,NM_002981,hsa-miR-130b,rs3136682,"Multiple sclerosis",-1,
CCL1,NM_002981,hsa-miR-301b,rs3136682,"Multiple sclerosis",-1,
CCL1,NM_002981,hsa-miR-301a,rs3136682,"Multiple sclerosis",-1,
CCL1,NM_002981,hsa-miR-454,rs3136682,"Multiple sclerosis",-1,
ATP1A2,NM_000702,hsa-miR-34c-5p,rs2070704,"Bipolar disorder",-1,
ATP1A2,NM_000702,hsa-miR-34a,rs2070704,"Bipolar disorder",-1,
ATP1A2,NM_000702,hsa-miR-449a,rs2070704,"Bipolar disorder",-1,
ATP1A2,NM_000702,hsa-miR-449b,rs2070704,"Bipolar disorder",-1,
EDNRA,NM_001957,hsa-miR-27a,rs5335,"Cystic fibrosis pulmonary disease",1,
EDNRA,NM_001957,hsa-miR-27b,rs5335,"Cystic fibrosis pulmonary disease",1,
EDNRA,NM_001957,hsa-miR-128a,rs5335,"Cystic fibrosis pulmonary disease",1,
EDNRA,NM_001957,hsa-miR-128b,rs5335,"Cystic fibrosis pulmonary disease",1,
USF1,NM_007122,hsa-miR-148a,rs3737787,"Familial combined hyperlipidemia, Coronary atherosclerosis, Obesity, Type 2 diabetes",-2,
USF1,NM_007122,hsa-miR-148b,rs3737787,"Familial combined hyperlipidemia, Coronary atherosclerosis, Obesity, Type 2 diabetes",-2,
USF1,NM_007122,hsa-miR-152,rs3737787,"Familial combined hyperlipidemia, Coronary atherosclerosis, Obesity, Type 2 diabetes",-2,
MET,NM_001127500,hsa-miR-144,rs1621,"Chronic rhinosinusitis",-2,
MET,NM_001127500,hsa-miR-101,rs1621,"Chronic rhinosinusitis",-2,
MET,NM_001127500,hsa-miR-199a*,rs1621,"Chronic rhinosinusitis",-2,Yes
MET,NM_001127500,hsa-miR-144,rs1621,"Chronic rhinosinusitis",-2,
MET,NM_001127500,hsa-miR-101,rs1621,"Chronic rhinosinusitis",-2,
MET,NM_001127500,hsa-miR-144,rs1621,"Chronic rhinosinusitis",-2,
MET,NM_001127500,hsa-miR-101,rs1621,"Chronic rhinosinusitis",-2,
MET,NM_001127500,hsa-miR-199a*,rs1621,"Chronic rhinosinusitis",-2,Yes
KCNQ1,NM_181798,hsa-miR-365,rs8234,"Congenital long QT syndromes",2,
GZF1,NM_022482,hsa-miR-30c,rs7988,Schizophrenia,2,
GZF1,NM_022482,hsa-miR-30a,rs7988,Schizophrenia,2,
GZF1,NM_022482,hsa-miR-30b,rs7988,Schizophrenia,2,
GZF1,NM_022482,hsa-miR-30e,rs7988,Schizophrenia,2,
GZF1,NM_022482,hsa-miR-30d,rs7988,Schizophrenia,2,
GZF1,NM_022482,hsa-miR-30a-5p,rs7988,Schizophrenia,2,
GZF1,NM_022482,hsa-miR-30b,rs7988,Schizophrenia,2,
GZF1,NM_022482,hsa-miR-30d,rs7988,Schizophrenia,2,
GZF1,NM_022482,hsa-miR-30c,rs7988,Schizophrenia,2,
GZF1,NM_022482,hsa-miR-30e,rs7988,Schizophrenia,2,
TPM3,NM_001043353,hsa-miR-143,rs1051370,"Lung cancer",2,
STAT6,NR_033659,hsa-miR-198,rs703817,Leukemia,-2,
CDON,NM_016952,hsa-miR-425,rs3737336,"Prostate cancer",3,
ATF1,NM_005171,hsa-miR-145,rs11169571,"Breast cancer",3,
DICER1,NM_001195573,hsa-miR-302b*,rs13078,"Esophageal cancer",3,
CCL1,NM_002981,hsa-miR-106b,rs3136682,"Multiple sclerosis",-3,
CCL1,NM_002981,hsa-miR-519d,rs3136682,"Multiple sclerosis",-3,
CCL1,NM_002981,hsa-miR-93,rs3136682,"Multiple sclerosis",-3,
CCL1,NM_002981,hsa-miR-20b,rs3136682,"Multiple sclerosis",-3,
CCL1,NM_002981,hsa-miR-106a,rs3136682,"Multiple sclerosis",-3,
CCL1,NM_002981,hsa-miR-20a,rs3136682,"Multiple sclerosis",-3,
CCL1,NM_002981,hsa-miR-17,rs3136682,"Multiple sclerosis",-3,Yes
IL10,NM_000572,hsa-let-7d,rs3024496,"Colorectal cancer, Prostate cancer, Hepatic steatosis",3,
CCDC117,NM_173510,hsa-miR-182,rs5762795,"Inflammatory bowel disease",4,
CCDC117,NM_173510,hsa-miR-182,rs5762795,"Inflammatory bowel disease",4,
CPLX2,NM_001008220,hsa-miR-204,rs3822674,Schizophrenia,-5,
CPLX2,NM_001008220,hsa-miR-211,rs3822674,Schizophrenia,-5,
EFNB2,NM_004093,hsa-miR-137,rs9520087,Schizophrenia,5,
NTRK3,NM_001007156,hsa-miR-128,rs72481814,"Anxiety disorders",-5,Yes
UBE2I,NM_194261,hsa-miR-188,rs8063,"Mild cognitive impairment",-5,
UBE2I,NM_194261,hsa-miR-188,rs8063,"Mild cognitive impairment",-5,
CCL1,NM_002981,hsa-miR-21,rs3136682,"Multiple sclerosis",5,
CCL1,NM_002981,hsa-miR-590-5p,rs3136682,"Multiple sclerosis",5,
CCL1,NM_002981,hsa-miR-21,rs3136682,"Multiple sclerosis",5,
MYH9,NM_002473,hsa-miR-133a,rs7078,"Focal segmental glomerulosclerosis, Cleft palate, Hypertension-associated endstage renal disease (ESRD)",5,
MYH9,NM_002473,hsa-miR-133b,rs7078,"Focal segmental glomerulosclerosis, Cleft palate, Hypertension-associated endstage renal disease (ESRD)",5,
TGFBR1,NM_001130916,hsa-let-7b,rs868,"Bladder cancer",-6,
TGFBR1,NM_001130916,hsa-let-7d,rs868,"Bladder cancer",-6,
TGFBR1,NM_001130916,hsa-let-7c,rs868,"Bladder cancer",-6,Yes
TGFBR1,NM_001130916,hsa-let-7e,rs868,"Bladder cancer",-6,
TGFBR1,NM_001130916,hsa-let-7f,rs868,"Bladder cancer",-6,
TGFBR1,NM_001130916,hsa-let-7g,rs868,"Bladder cancer",-6,
TGFBR1,NM_001130916,hsa-let-7a,rs868,"Bladder cancer",-6,
TGFBR1,NM_001130916,hsa-miR-98,rs868,"Bladder cancer",-6,
TGFBR1,NM_001130916,hsa-let-7i,rs868,"Bladder cancer",-6,
TGFBR1,NM_001130916,hsa-let-7d,rs868,"Bladder cancer",-6,
TGFBR1,NM_001130916,hsa-let-7d,rs868,"Bladder cancer",-6,
PDYN,NM_024411,hsa-miR-365,rs2235749,"Cocaine dependence",-6,
TGFBR1,NM_001130916,hsa-miR-202,rs868,"Bladder cancer",-7,
TGFBR1,NM_001130916,hsa-let-7i,rs868,"Bladder cancer",-7,
TGFBR1,NM_001130916,hsa-let-7g,rs868,"Bladder cancer",-7,
TGFBR1,NM_001130916,hsa-let-7a,rs868,"Bladder cancer",-7,
TGFBR1,NM_001130916,hsa-miR-98,rs868,"Bladder cancer",-7,
TGFBR1,NM_001130916,hsa-let-7f,rs868,"Bladder cancer",-7,
TGFBR1,NM_001130916,hsa-let-7b,rs868,"Bladder cancer",-7,
TGFBR1,NM_001130916,hsa-let-7e,rs868,"Bladder cancer",-7,
TGFBR1,NM_001130916,hsa-let-7c,rs868,"Bladder cancer",-7,Yes
TGFBR1,NM_001130916,hsa-miR-98,rs868,"Bladder cancer",-7,
TGFBR1,NM_001130916,hsa-let-7f,rs868,"Bladder cancer",-7,
TGFBR1,NM_001130916,hsa-let-7b,rs868,"Bladder cancer",-7,
TGFBR1,NM_001130916,hsa-let-7e,rs868,"Bladder cancer",-7,
TGFBR1,NM_001130916,hsa-let-7a,rs868,"Bladder cancer",-7,
TGFBR1,NM_001130916,hsa-let-7i,rs868,"Bladder cancer",-7,
TGFBR1,NM_001130916,hsa-let-7c,rs868,"Bladder cancer",-7,Yes
TGFBR1,NM_001130916,hsa-let-7g,rs868,"Bladder cancer",-7,
SOX2,NM_003106,hsa-miR-200c,rs11915160,"Diabetic nephropathy",-8,
SOX2,NM_003106,hsa-miR-429,rs11915160,"Diabetic nephropathy",-8,
SOX2,NM_003106,hsa-miR-200b,rs11915160,"Diabetic nephropathy",-8,
GATA3,NM_002051,hsa-miR-433,rs2229360,"Allergic rhinitis",8,
ITGB3,NM_000212,hsa-miR-125a,rs2317676,"Lung cancer",8,
ITGB3,NM_000212,hsa-miR-125b,rs2317676,"Lung cancer",8,
USP24,NM_015306,hsa-miR-208a,rs1043671,"Parkinson's disease",9,
USP24,NM_015306,hsa-miR-499-5p,rs1043671,"Parkinson's disease",9,
USP24,NM_015306,hsa-miR-208b,rs1043671,"Parkinson's disease",9,
CCDC97,NM_052848,hsa-miR-122,rs2241718,"Gallbladder cancer, Chronic obstructive pulmonary disease",9,
CCDC97,NM_052848,hsa-miR-122a,rs2241718,"Gallbladder cancer, Chronic obstructive pulmonary disease",9,
SLC12A5,NM_001134771,hsa-miR-1271,rs9074,"Type 2 diabetes",9,
SLC12A5,NM_001134771,hsa-miR-96,rs9074,"Type 2 diabetes",9,
SLC12A5,NM_001134771,hsa-miR-96,rs9074,"Type 2 diabetes",9,
RGS2,NM_002923,hsa-miR-30d,rs4606,"Parkinson's disease, Posttraumatic stress disorder",10,
RGS2,NM_002923,hsa-miR-30b,rs4606,"Parkinson's disease, Posttraumatic stress disorder",10,
RGS2,NM_002923,hsa-miR-30a,rs4606,"Parkinson's disease, Posttraumatic stress disorder",10,
RGS2,NM_002923,hsa-miR-30c,rs4606,"Parkinson's disease, Posttraumatic stress disorder",10,
RGS2,NM_002923,hsa-miR-30e,rs4606,"Parkinson's disease, Posttraumatic stress disorder",10,
RGS2,NM_002923,hsa-miR-30e,rs4606,"Parkinson's disease, Posttraumatic stress disorder",10,
ESR1,NM_001122740,hsa-miR-219-5p,rs2747648,"Breast cancer",-10,
ESR1,NM_001122740,hsa-miR-219,rs2747648,"Breast cancer",-10,
SLC9A3R1,NM_004252,hsa-miR-339,rs7420,"Psoriatic arthritis",10,
TXNDC5,NM_001145549,hsa-miR-371-5p,rs8643,"Nonsegmental vitiligo",11,
CDC42BPG,NM_017525,hsa-miR-96,rs670358,Otosclerosis,-11,
CDC42BPG,NM_017525,hsa-miR-1271,rs670358,Otosclerosis,-11,
CALM1,NM_006888,hsa-miR-425,rs5871,"Adolescent idiopathic scoliosis",-11,
CYP19A1,NM_000103,hsa-miR-539,rs10046,"Breast cancer, Miscarriages, Essential hypertension",-11,
CCL2,NM_002982,hsa-miR-374b,rs13900,"Muscle damage, Human cytomegalovirus  infection",-11,
CCL2,NM_002982,hsa-miR-374a,rs13900,"Muscle damage, Human cytomegalovirus  infection",-11,
DRD2,NM_000795,hsa-miR-326,rs6279,"Gilles de la Tourette syndrome",12,
ONECUT2,NM_004852,hsa-miR-181a,rs608823,"Rheumatoid arthritis",-12,
